1,dfsd,21,fsdfsdf,werwe,weewrwe
2,cnvbn,23,dghfhg,dfghfg,453
3,cnvbn,23,dghfhg,dfghfg23423,345
4,345345,24,345,ewrtwert,wertwert
5,tyuty,12,tyjtyu,4564,456
6,tyuty,15,tyjtyu,456434,ert
7,234234,12,hdfgh,2342382,123
8,34345,4,gtderter,yretyrt,345
9,rteyerty,34,rtyrt,eertert,234243
10,sfsdf,54,wetrewtert,wertwer,123123
11,rteyerty,23,rtyertyert,34534,345345
12,dfsd,34,werwer,werwer,qwe
13,wqeqw,45,qweqwe,qweqwe,123123
14,swdfs,76,ert,dfg,w324
15,dfgh,74,ertert,ertye,345
16,dfgdfgd,42,ertyerty,rety,345
17,wer,23,tewrt,123,rwer
18,wer,25,tewrt,123rwe,132313
19,werwe,5,wrwer,werwerwet,234
20,dsfg,3,ertert,ert,234
21,wertwret,11,werwerwre,red,324
